epoch,step,train_loss,train_bleu,val_loss,val_bleu,test_loss,test_bleu,learning_rate
1,71,6.30937157886129,0.07655831854031567,4.976624011993408,0.07687274876604631,5.0388712882995605,0.07648365039423041,0.0
2,142,4.7510321845471015,0.11265136911314261,4.367432117462158,0.11275037098512529,4.450316645882347,0.11213445270938269,0.00046948356807511736
3,213,4.297464760256485,0.14171170447961848,4.062498331069946,0.13512028209110874,4.134206295013428,0.13776008973619217,0.0009389671361502347
4,284,3.8899448186578884,0.1792953493344571,3.6525803804397583,0.1679448599653924,3.7490387829867275,0.16666475789280882,0.001
5,355,3.5218616337843343,0.225458635253711,3.3909382820129395,0.20598654241998873,3.5080613873221655,0.19630201014097845,0.0009949316837804985
6,426,3.233799306439682,0.2730129503763248,3.2023509740829468,0.2378307432317597,3.3341585506092417,0.21829884448215908,0.0009767275214425954
7,497,2.9878346315571958,0.31754644300877927,3.095934748649597,0.26123293197855246,3.2450973337346856,0.23838240594979435,0.0009698764640825614
8,568,2.7895774471927695,0.37753100879081397,3.027073621749878,0.2823546283829842,3.15430363741788,0.25414628796831645,0.0009457619741652951
9,639,2.6105304301624566,0.42077043091908567,3.0052359104156494,0.2778871640876097,3.114171700044112,0.2650606864053288,0.0009028648202601651
10,710,2.464488623847424,0.4893416824957447,2.9579973220825195,0.2935873906218678,3.0716359398581763,0.2771622486554681,0.000849185567198193
11,781,2.3296706844383563,0.5538713073262186,2.93421471118927,0.3040511796874234,3.0457898053255947,0.29080194415968375,0.0008432776981154326
12,852,2.215950183465447,0.6184471706125771,2.921599864959717,0.3271461386363819,3.0411578091708096,0.2981918926440228,0.0007861626484607278
13,923,2.109387179495583,0.6722748309275309,2.9234325885772705,0.3213564512582188,3.0482748421755703,0.299577465107753,0.0007154848780910595
14,994,2.0167678796069723,0.7412067111046583,2.906299591064453,0.3339353769998996,3.03476019339128,0.3080490963274609,0.0006983418431365589
15,1065,1.9389548855768124,0.7953475731251912,2.9393820762634277,0.324629035558768,3.0538007779554888,0.3074206258320851,0.0006390461958422144
16,1136,1.8652725236516603,0.8422654267340765,2.943532109260559,0.33766646458684524,3.050622896714644,0.3124886851386567,0.0005588949156072729
17,1207,1.8047728807153836,0.8797262414429377,2.972154974937439,0.3440913279866134,3.065093755722046,0.31473518966394437,0.00047717883711306504
18,1278,1.749386060405785,0.9180339447048022,2.956507444381714,0.3498585719491724,3.0696735815568403,0.3161605243044492,0.0004714566579592174
19,1349,1.6986863260537806,0.9368094689553422,2.9907561540603638,0.3453660863527663,3.0791270949623804,0.3205066060188582,0.0003960876917095215
